Original			Refactored
TaskHandle_t		task_t
TaskFunction_t		task_fn_t
eTaskState			task_state_e_t
eRunning			E_TASK_STATE_RUNNING
eReady				E_TASK_STATE_READY
eBlocked			E_TASK_STATE_BLOCKED
eSuspended			E_TASK_STATE_SUSPENDED
eDeleted			E_TASK_STATE_DELETED
eInvalid			E_TASK_STATE_INVALID
eNotifyAction               notify_action_e_t
eNoAction                   E_NOTIFY_ACTION_NONE
eSetBits                    E_NOTIFY_ACTION_BITS
eIncrement                  E_NOTIFY_ACTION_INCR
eSetValueWithOverwrite      E_NOTIFY_ACTION_OWRITE
eSetValueWithoutOverwrite   E_NOTIFY_ACTION_NO_OWRITE
QueueHandle_t		        queue_t
SemaphoreHandle_t	        sem_t
MutexHandle_t               mutex_t
StackType_t                 task_stack_t
StaticTask_t                static_task_s_t
BaseType_t                  int32_t
UBaseType_t                 uint32_t
TickType_t					uint32_t
ListItem_t					list_item_t
StaticSemaphore_t   static_sem_s_t
StaticQueue_t       static_queue_s_t
StreamBufferHandle_t        stream_buf_t
StaticStreamBuffer_t        static_stream_buf_s_t
MessageBufferHandle_t       msg_buf_t
StaticMessageBuffer_t       static_msg_buf_s_t



xTaskCreate			task_create
xTaskCreateStatic   task_create_static
vTaskDelete			task_delete
vTaskDelay			task_delay
vTaskDelayUntil		task_delay_until
uxTaskPriorityGet	task_get_priority
vTaskPrioritySet	task_set_priority
eTaskGetState		task_get_state
vTaskSuspend		task_suspend
vTaskResume			task_resume
xTaskAbortDelay      task_abort_delay
vTaskStartScheduler		rtos_sched_start
vTaskEndScheduler		rtos_sched_stop
vTaskSuspendAll			rtos_suspend_all
xTaskResumeAll			rtos_resume_all
xTaskGetTickCount		millis
uxTaskGetNumberOfTasks 	task_get_count
pcTaskGetName			task_get_name
xTaskGetHandle			task_get_by_name
xTaskGenericNotify		task_notify_ext
ulTaskNotifyTake		task_notify_take
xTaskNotifyWait			task_notify_wait
xTaskNotifyStateClear	task_notify_clear
xTaskGetCurrentTaskHandle			task_get_current
xQueueCreate			queue_create
xQueueSendToFront		queue_prepend
xQueueSendToBack		queue_append
xQueueOverwrite			queue_overwrite
xQueuePeek				queue_peek
xQueueReceive			queue_recv
uxQueueMessagesWaiting	queue_get_waiting
uxQueueSpacesAvailable	queue_get_available
vQueueDelete			queue_delete
xSemaphoreCreateBinary	sem_binary_create
xSemaphoreTake			sem_wait
xSemaphoreTakeRecursive			mutex_recursive_take
xSemaphoreGive					sem_post
xSemaphoreGiveRecursive			mutex_recursive_give
xSemaphoreCreateMutex			mutex_create
xSemaphoreCreateRecursiveMutex	mutex_recursive_create
xSemaphoreCreateCounting		sem_create
vSemaphoreDelete			sem_delete
xSemaphoreGetMutexHolder	mutex_get_owner
uxSemaphoreGetCount			sem_get_count
pvPortMalloc                kmalloc
vPortFree                   kfree
xSemaphoreCreateMutexStatic     mutex_create_static
xSemaphoreCreateCountingStatic  sem_create_static
xQueueCreateStatic              queue_create_static
xStreamBufferCreateStatic       stream_buf_create_static
xStreamBufferCreate             stream_buf_create
xStreamBufferSend               stream_buf_send
xStreamBufferReceive            stream_buf_recv
xStreamBufferDelete             stream_buf_delete
xStreamBufferBytesAvailable     stream_buf_get_used
xStreamBufferSpacesAvailable    stream_buf_get_unused
xStreamBufferSetTriggerLevel    stream_buf_set_trigger
xStreamBufferReset              stream_buf_reset
xStreamBufferIsEmpty            stream_buf_is_empty
xStreamBufferIsFull             stream_buf_is_full
xMessageBufferSend              msg_buf_send
xMessageBufferReceive           msg_buf_recv
xMessageBufferDelete            msg_buf_delete
xMessageBufferSpacesAvailable   msg_buf_get_unused
xMessageBufferReset             msg_buf_reset
xMessageBufferIsEmpty           msg_buf_is_empty
xMessageBufferIsFull            msg_buf_is_full
